eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
98.87,1.2899999618530273,88.62,1.2899999618530273,91.0,0.012062604539096355,0.1634318083524704,2.4911677837371826,-0.01984880492091179,0.05809599161148071,0.5880626440048218,36.0,9216.0,7376.368752667,589824.0
102.01,1.4800000190734863,88.29,1.2599999904632568,92.0,0.012086215429008007,0.164794921875,2.4715611934661865,-0.01915389858186245,0.05813589319586754,0.6654892265796661,37.0,9472.0,7552.907916095,606208.0
104.58,1.9199999570846558,107.76,1.4800000190734863,93.0,0.012065957300364971,0.1624552458524704,2.447939157485962,-0.02052435092628002,0.0499783456325531,0.6686518490314484,38.0,9728.0,7728.332156571,622592.0
102.8,1.7699999809265137,107.69,1.8600000143051147,91.0,0.0121804503723979,0.1653035432100296,2.435734748840332,-0.022289112210273743,0.05546387657523155,0.6720049679279327,39.0,9984.0,7906.774343964,638976.0
107.27,2.109999895095825,99.04,1.8200000524520874,92.0,0.012484715320169926,0.1702677458524704,2.420173406600952,-0.014552630484104156,0.06885840743780136,0.6470443606376648,40.0,10240.0,8083.740604496,655360.0
113.59,1.9299999475479126,123.79,2.3299999237060547,91.0,0.010535682551562786,0.1482340544462204,2.415698289871216,-0.017599696293473244,0.09215069562196732,0.6000544428825378,41.0,10496.0,8262.250102629,671744.0
128.0,2.549999952316284,115.7,2.009999990463257,93.0,0.01186547800898552,0.16888427734375,2.378216028213501,-0.019889790564775467,0.09467598050832748,0.5895596146583557,42.0,10752.0,8437.776899422,688128.0
120.14,1.8700000047683716,124.11,2.5799999237060547,92.0,0.011754237115383148,0.16387939453125,2.365248441696167,-0.02184346131980419,0.07126928865909576,0.6546211242675781,43.0,11008.0,8614.860171994,704512.0
119.89,2.0799999237060547,143.2,3.1700000762939453,94.0,0.01192388217896223,0.16552734375,2.345581293106079,-0.022697336971759796,0.06765728443861008,0.6293323934078217,44.0,11264.0,8788.256864941,720896.0
133.54,2.990000009536743,131.13,2.990000009536743,94.0,0.012688512913882732,0.1796468049287796,2.3055756092071533,-0.016044151037931442,0.08761382102966309,0.6573951542377472,45.0,11520.0,8962.159087739,737280.0
135.34,3.2699999809265137,129.67,3.4700000286102295,93.0,0.011698762886226177,0.161376953125,2.29809832572937,-0.014497976750135422,0.11214713007211685,0.5797351896762848,46.0,11776.0,9137.704227624,753664.0
148.27,3.440000057220459,141.21,2.9200000762939453,93.0,0.013140004128217697,0.1781005859375,2.263035535812378,-0.017336810007691383,0.08597689867019653,0.6635050475597382,47.0,12032.0,9313.78976243,770048.0
146.54,3.880000114440918,170.59,4.480000019073486,94.0,0.013429507613182068,0.17974853515625,2.2489700317382812,-0.009301374666392803,0.128385528922081,0.6496846079826355,48.0,12288.0,9487.312562165,786432.0
172.51,4.03000020980835,184.84,5.119999885559082,94.0,0.012293032370507717,0.1724446564912796,2.288869619369507,-0.019264766946434975,0.08202750235795975,0.6758049726486206,49.0,12544.0,9660.397745628,802816.0
201.59,6.489999771118164,180.53,4.300000190734863,93.0,0.011806418187916279,0.1653849333524704,2.272162914276123,-0.010796190239489079,0.19582456350326538,0.6663367748260498,50.0,12800.0,9834.888712594,819200.0
189.42,5.650000095367432,181.96,5.03000020980835,94.0,0.008610519580543041,0.11248779296875,2.2590343952178955,-0.01197003573179245,0.18042601644992828,0.6903602480888367,51.0,13056.0,10008.272407894,835584.0
209.36,6.480000019073486,181.76,5.550000190734863,94.0,0.012669174931943417,0.1731974333524704,2.262266159057617,-0.015593315474689007,0.15585099160671234,0.6849910914897919,52.0,13312.0,10182.054222608,851968.0
211.87,6.960000038146973,182.53,5.46999979019165,93.0,0.012431308627128601,0.1698201447725296,2.2686398029327393,-0.010381602682173252,0.17974495887756348,0.7170208692550659,53.0,13568.0,10356.608030915,868352.0
220.77,7.800000190734863,194.53,5.659999847412109,93.0,0.01108279824256897,0.1532999724149704,2.2726848125457764,-0.015868423506617546,0.19599227607250214,0.7725651413202286,54.0,13824.0,10532.149827324,884736.0
198.43,5.349999904632568,205.98,6.28000020980835,92.0,0.013221084140241146,0.1758626252412796,2.2869837284088135,-0.01954604871571064,0.12579727172851562,0.7146528661251068,55.0,14080.0,10708.634753459,901120.0
190.81,5.139999866485596,202.48,5.869999885559082,93.0,0.011642887257039547,0.1533203125,2.2928621768951416,-0.016614234074950218,0.15016132593154907,0.7684666067361832,56.0,14336.0,10884.509780608,917504.0
195.54,5.840000152587891,227.84,7.46999979019165,91.0,0.012224670499563217,0.1664021760225296,2.302659034729004,-0.01712615229189396,0.14279517531394958,0.779584527015686,57.0,14592.0,11063.772713303,933888.0
208.66,5.039999961853027,205.5,6.289999961853027,91.0,0.013112296350300312,0.1704304963350296,2.266676664352417,-0.018533622846007347,0.14257027208805084,0.7870964854955673,58.0,14848.0,11243.690684766,950272.0
223.12,7.840000152587891,224.96,8.34000015258789,90.0,0.012331738136708736,0.1620890349149704,2.2329845428466797,-0.010934337973594666,0.21083687245845795,0.8194245994091034,59.0,15104.0,11424.956142713,966656.0
