#{"t_start": 1620411457.1608877, "env_id": "procgen-fruitbot-v0"}
r,l,t
-4.0,58,269.171311
-4.0,58,269.345817
-3.0,72,269.455261
2.0,80,269.659567
-2.0,72,269.764612
-4.0,58,269.931504
0.0,58,270.026531
-3.0,80,270.227466
-4.0,58,270.317188
1.0,131,270.598382
-4.0,44,270.745078
-7.0,44,270.809973
-3.0,80,271.023056
-7.0,44,271.090389
-10.0,209,271.585536
0.0,212,271.996941
0.0,51,272.167608
1.0,130,272.453991
0.0,80,272.576874
0.0,51,272.734927
1.0,112,272.985919
-8.0,130,273.278926
0.0,44,273.351564
-8.0,159,273.674595
0.0,51,273.840779
-3.0,80,273.975789
1.0,209,274.481473
-8.0,44,274.548824
1.0,72,274.737646
-4.0,51,274.815129
1.0,180,275.278086
-2.0,94,275.427414
1.0,108,275.681569
-4.0,58,275.852587
0.0,51,275.927883
0.0,58,276.11921
-4.0,80,276.244901
-4.0,51,276.418425
-4.0,51,276.503948
-4.0,51,276.586864
2.0,80,276.793111
-4.0,94,277.020135
0.0,58,277.126008
0.0,58,277.306792
0.0,108,277.465965
-3.0,80,277.683074
-4.0,80,277.894013
-3.0,108,278.147176
-8.0,44,278.217378
0.0,51,278.299948
2.0,80,278.511213
1.0,80,278.72806
-4.0,80,278.857041
-3.0,72,279.057031
-1.0,180,279.421199
-4.0,80,279.623571
-7.0,80,279.741656
-4.0,51,279.899786
0.0,58,279.992042
-4.0,94,280.228613
2.0,80,280.433475
-3.0,80,280.561047
0.0,51,280.722297
0.0,51,280.798902
1.0,51,280.873878
2.0,80,281.080794
0.0,76,281.28862
2.0,80,281.416065
1.0,51,281.584598
-2.0,80,281.704808
1.0,108,281.944644
-4.0,108,282.203948
0.0,51,282.281313
-7.0,80,282.483136
-3.0,94,282.716812
-2.0,80,282.839673
0.0,51,282.99867
-4.0,80,283.118343
1.0,108,283.367579
2.0,80,283.574506
-4.0,80,283.692152
0.0,51,283.850542
-2.0,80,284.048185
-2.0,73,284.16059
-3.0,51,284.25041
-3.0,44,284.403889
-2.0,80,284.523217
-4.0,58,284.695323
-4.0,58,284.780874
-3.0,80,284.991292
-2.0,72,285.193022
-4.0,44,285.259412
-3.0,44,285.331547
-7.0,80,285.542676
-4.0,80,285.672442
-4.0,58,285.84486
-2.0,80,286.044471
0.0,51,286.121556
-4.0,58,286.22319
-4.0,80,286.431186
-4.0,80,286.632895
-3.0,44,286.696829
-2.0,80,286.900308
-2.0,51,286.979212
1.0,80,287.18443
0.0,44,287.260757
2.0,80,287.477064
-3.0,51,287.558066
-4.0,72,287.77352
-3.0,51,287.848777
0.0,108,288.095103
1.0,94,288.34065
0.0,108,288.505724
-4.0,44,288.659818
-3.0,80,288.78422
-7.0,80,288.993786
1.0,94,289.243763
0.0,108,289.505197
-3.0,51,289.589151
-3.0,44,289.659562
-3.0,94,289.882303
-2.0,80,290.083083
-2.0,51,290.162053
-4.0,58,290.3441
-3.0,44,290.408283
-7.0,80,290.526978
2.0,80,290.7286
0.0,108,290.984531
-2.0,72,291.186143
-4.0,58,291.283512
0.0,51,291.365985
-3.0,94,291.601208
-4.0,44,291.674571
0.0,80,291.881526
0.0,51,291.960132
-4.0,58,292.129854
0.0,108,292.399805
-3.0,51,292.479198
-3.0,44,292.632344
-4.0,58,292.722854
-3.0,51,292.802136
0.0,108,293.061694
-2.0,80,293.271881
-3.0,94,293.50913
-7.0,80,293.641176
