#{"t_start": 1620582777.488878, "env_id": "procgen-fruitbot-v0"}
r,l,t
-3.0,87,80.494232
2.0,65,80.6293
2.0,87,81.008685
2.0,101,81.226277
0.0,80,81.396876
-3.0,80,81.761837
-4.0,51,81.868455
-6.0,137,82.166069
1.0,108,82.599045
1.0,65,82.736591
1.0,44,82.833723
-4.0,65,82.964703
-3.0,65,83.300557
1.0,87,83.480703
0.0,80,83.640144
-3.0,72,83.976318
-4.0,44,84.072641
1.0,72,84.216999
2.0,51,84.314724
0.0,58,84.627219
0.0,72,84.771637
0.0,80,84.933101
-4.0,44,85.027798
0.0,72,85.369309
0.0,72,85.514593
-7.0,87,85.688055
2.0,72,85.828167
-3.0,44,86.123003
0.0,65,86.252862
0.0,72,86.389645
-7.0,80,86.739478
0.0,72,86.890087
-3.0,80,87.062948
-4.0,80,87.231784
-1.0,116,87.66039
-3.0,80,87.824157
2.0,54,87.936412
0.0,55,88.254656
2.0,58,88.369822
-8.0,80,88.525461
-8.0,72,88.66224
-3.0,94,89.059018
-3.0,78,89.224146
-2.0,87,89.403427
3.0,65,89.726299
-3.0,51,89.826227
-3.0,58,89.945326
1.0,80,90.12167
-8.0,87,90.498665
0.0,65,90.631754
-4.0,65,90.768023
-4.0,58,91.08999
3.0,111,91.318666
0.0,72,91.469021
0.0,72,91.808235
2.0,101,92.017365
-3.0,137,92.314621
0.0,72,92.675747
2.0,50,92.778795
-4.0,51,92.8857
1.0,65,93.015216
-13.0,159,93.551223
3.0,65,93.683868
0.0,87,94.053427
0.0,80,94.226866
-3.0,94,94.420126
-3.0,65,94.743239
-7.0,108,94.946302
0.0,65,95.070273
0.0,87,95.441903
0.0,87,95.633041
-4.0,94,95.827754
0.0,58,95.949246
0.0,58,96.26834
-2.0,87,96.438109
0.0,80,96.593061
-3.0,80,96.942355
1.0,44,97.030231
-3.0,87,97.224805
1.0,115,97.644636
2.0,58,97.764815
1.0,44,97.85694
0.0,58,97.970708
-3.0,72,98.36694
1.0,72,98.515577
0.0,72,98.662071
-8.0,65,98.788051
1.0,72,99.122416
0.0,87,99.303845
1.0,58,99.423315
1.0,72,99.566881
-7.0,188,100.130708
2.0,80,100.49123
1.0,51,100.592649
0.0,80,100.754973
0.0,44,100.840606
-4.0,65,100.966084
3.0,108,101.389918
-2.0,94,101.578629
-8.0,67,101.711221
1.0,116,102.135503
-4.0,51,102.248671
2.0,105,102.645303
0.0,72,102.790161
-3.0,80,102.951428
0.0,87,103.123788
1.0,87,103.505713
-4.0,137,103.82864
1.0,80,104.189242
-1.0,166,104.53361
-3.0,51,104.834284
1.0,94,105.02634
2.0,80,105.189285
-4.0,80,105.552201
0.0,72,105.700351
-4.0,72,105.846706
2.0,101,106.052549
1.0,65,106.396978
-4.0,88,106.577253
-4.0,51,106.680503
1.0,78,107.021582
-7.0,97,107.215272
2.0,87,107.388617
0.0,44,107.479287
1.0,44,107.761482
-2.0,159,108.076291
-6.0,94,108.454377
1.0,87,108.627295
-7.0,80,108.786926
1.0,58,109.090851
0.0,58,109.21378
-8.0,125,109.485103
0.0,44,109.570746
0.0,58,109.888771
-4.0,51,109.991767
-3.0,58,110.112502
1.0,51,110.216718
0.0,72,110.567079
-4.0,94,110.765263
1.0,44,110.851324
-3.0,94,111.036257
0.0,53,111.327751
0.0,87,111.501262
3.0,99,111.687582
-2.0,74,112.033402
-7.0,72,112.179732
1.0,137,112.464505
0.0,87,112.815102
2.0,94,112.99282
-3.0,72,113.131536
1.0,87,113.503797
0.0,44,113.589906
1.0,80,113.749818
-3.0,166,114.280098
0.0,72,114.434773
1.0,72,114.579595
2.0,72,114.954242
-4.0,51,115.056365
0.0,44,115.146648
0.0,58,115.266578
0.0,72,115.606614
-4.0,72,115.758224
1.0,44,115.847073
1.0,44,115.935633
2.0,101,116.329229
0.0,72,116.489348
1.0,58,116.606592
-4.0,65,116.734795
1.0,58,117.037465
2.0,87,117.205065
-3.0,108,117.414321
0.0,72,117.744859
0.0,87,117.910502
4.0,209,118.52964
1.0,209,119.130359
-12.0,94,119.317364
-3.0,72,119.459494
1.0,123,119.909425
3.0,65,120.041561
1.0,51,120.145268
-4.0,72,120.476416
-4.0,65,120.656876
-4.0,95,120.84919
0.0,44,120.932265
-12.0,152,121.431306
0.0,87,121.620141
1.0,93,121.991066
1.0,80,122.157097
-4.0,65,122.291031
-6.0,87,122.669344
1.0,44,122.758841
-3.0,209,123.370552
3.0,137,123.655324
-7.0,80,123.811532
0.0,72,124.151506
0.0,116,124.390527
-4.0,72,124.53903
2.0,65,124.88348
-7.0,94,125.068327
2.0,65,125.203623
0.0,72,125.534354
