eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
98.41,1.940000057220459,58.0,0.012102946639060974,0.1648966521024704,2.506412982940674,-0.009440116584300995,0.050123635679483414,0.5670748054981232,32.0,8192.0,8702.354223259,524288.0
90.6,1.649999976158142,75.0,0.010703563690185547,0.1451009064912796,2.5065724849700928,-0.014723229221999645,0.03683409094810486,0.5925905108451843,33.0,8448.0,8919.849256013,540672.0
98.74,1.899999976158142,69.0,0.012809245847165585,0.1673177033662796,2.4774627685546875,-0.011868651956319809,0.05602326989173889,0.5926127433776855,34.0,8704.0,9154.186572115,557056.0
99.69,2.0299999713897705,55.0,0.013060680590569973,0.1719563752412796,2.484539747238159,-0.009461386129260063,0.04009758681058884,0.6383469104766846,35.0,8960.0,9449.756780277,573440.0
103.02,2.0799999237060547,65.0,0.009148149751126766,0.1202189102768898,2.4832546710968018,-0.013254813849925995,0.04464496672153473,0.6993706822395325,36.0,9216.0,9698.434175137,589824.0
121.04,2.630000114440918,67.0,0.01172532420605421,0.15997314453125,2.4651262760162354,-0.014814802445471287,0.051963623613119125,0.664704442024231,37.0,9472.0,9942.159434161,606208.0
116.38,2.5899999141693115,66.0,0.010293110273778439,0.1402180939912796,2.4465160369873047,-0.007540096994489431,0.08040212839841843,0.6340110599994659,38.0,9728.0,10190.005268832001,622592.0
124.51,2.880000114440918,59.0,0.011500456370413303,0.1556803435087204,2.4579319953918457,-0.011498377658426762,0.07723553478717804,0.6561485528945923,39.0,9984.0,10464.678217182,638976.0
124.22,2.8299999237060547,53.0,0.009661746211349964,0.126953125,2.4526844024658203,-0.011519423685967922,0.05824761465191841,0.685149759054184,40.0,10240.0,10771.646431079,655360.0
152.23,3.4200000762939453,53.0,0.00908315647393465,0.1236775740981102,2.453083038330078,-0.00911262072622776,0.07985670119524002,0.6534697711467743,41.0,10496.0,11076.296018369,671744.0
151.53,3.7300000190734863,55.0,0.012433476746082306,0.1622721403837204,2.450711727142334,-0.012326739728450775,0.07919992506504059,0.655125081539154,42.0,10752.0,11369.259890742,688128.0
157.86,4.909999847412109,48.0,0.011526010930538177,0.1552734375,2.423698902130127,-0.012060274370014668,0.11821213364601135,0.6435642540454865,43.0,11008.0,11705.873170323,704512.0
166.5,4.829999923706055,51.0,0.009539032354950905,0.1285603791475296,2.4233686923980713,-0.00796410720795393,0.13237495720386505,0.6658070385456085,44.0,11264.0,12026.122174741,720896.0
176.56,5.610000133514404,52.0,0.009920329786837101,0.1297607421875,2.423664093017578,-0.00832810066640377,0.15541069209575653,0.646455854177475,45.0,11520.0,12335.42341418,737280.0
189.77,5.880000114440918,59.0,0.00978162419050932,0.1281331330537796,2.414675712585449,-0.003388630924746394,0.20035986602306366,0.7160998582839966,46.0,11776.0,12611.910574808,753664.0
188.63,6.199999809265137,60.0,0.00687933387234807,0.0824381485581398,2.4266841411590576,-0.006792416330426931,0.14491687715053558,0.7252368628978729,47.0,12032.0,12880.66858824,770048.0
178.12,5.5,67.0,0.008738895878195763,0.1120808944106102,2.4152066707611084,-0.007997247390449047,0.12037483602762222,0.764204353094101,48.0,12288.0,13124.187877954,786432.0
203.22,7.699999809265137,74.0,0.011832178570330143,0.1645100861787796,2.390751600265503,-0.0062286946922540665,0.2026582956314087,0.7740580290555954,49.0,12544.0,13345.658063275001,802816.0
226.76,9.149999618530273,64.0,0.00979942362755537,0.12939453125,2.4058725833892822,-0.0075301132164895535,0.21972264349460602,0.7743241935968399,50.0,12800.0,13600.990885076,819200.0
224.68,8.279999732971191,63.0,0.010783101432025433,0.1385701447725296,2.3921291828155518,-0.007509557064622641,0.20361419022083282,0.7548283785581589,51.0,13056.0,13857.158574456,835584.0
203.57,6.5,64.0,0.009384570643305779,0.11968994140625,2.4115328788757324,-0.004866907373070717,0.1861424297094345,0.7656911909580231,52.0,13312.0,14110.192617359,851968.0
215.0,7.929999828338623,66.0,0.008878198452293873,0.1103515625,2.3964879512786865,-0.01062516774982214,0.18588007986545563,0.7796614021062851,53.0,13568.0,14355.316618621,868352.0
232.53,9.119999885559082,69.0,0.011652947403490543,0.15087890625,2.39113712310791,-0.006143180187791586,0.2137724608182907,0.8032936602830887,54.0,13824.0,14590.891569707,884736.0
221.12,8.489999771118164,68.0,0.011203561909496784,0.1471354216337204,2.3941328525543213,-0.003388067940250039,0.20721574127674103,0.8087973296642303,55.0,14080.0,14830.663288139,901120.0
230.69,8.670000076293945,60.0,0.01008819043636322,0.1337687224149704,2.3982906341552734,-0.008579300716519356,0.1802452653646469,0.8249433636665344,56.0,14336.0,15100.73090889,917504.0
235.15,8.609999656677246,63.0,0.008372954092919827,0.10986328125,2.3827080726623535,-0.009462820366024971,0.22021569311618805,0.8338709622621536,57.0,14592.0,15360.484870215,933888.0
235.33,8.130000114440918,64.0,0.01280465442687273,0.1707967072725296,2.3963449001312256,-0.0023450872395187616,0.21753467619419098,0.7883176505565643,58.0,14848.0,15614.581525138,950272.0
228.14,8.40999984741211,61.0,0.01985512673854828,0.2310791015625,2.3603675365448,0.002821655012667179,0.2541426420211792,0.8283882290124893,59.0,15104.0,15878.967356322,966656.0
266.79,12.390000343322754,67.0,0.009930635802447796,0.1296183317899704,2.363837957382202,-0.008501428179442883,0.2634217441082001,0.852687805891037,60.0,15360.0,16122.987888713,983040.0
270.88,12.25,58.0,0.011016757227480412,0.1467081755399704,2.3822762966156006,-0.0042496914975345135,0.2864687144756317,0.8196785300970078,61.0,15616.0,16404.418893342998,999424.0
