#{"t_start": 1620417643.3996675, "env_id": "procgen-fruitbot-v0"}
r,l,t
-7.0,72,257.791467
-3.0,44,257.967186
-4.0,80,258.309199
-8.0,72,258.653322
2.0,94,258.989447
-8.0,65,259.263204
1.0,101,259.658604
-3.0,58,259.89215
1.0,87,260.248601
0.0,58,260.515368
-4.0,58,260.757609
0.0,65,261.052985
0.0,72,261.362175
0.0,130,261.843418
0.0,87,262.275318
0.0,44,262.487037
0.0,65,262.741084
-3.0,87,263.091693
-4.0,80,263.48934
-8.0,108,263.913754
-3.0,94,264.286376
-4.0,51,264.490758
-3.0,72,264.827856
-4.0,51,265.006601
0.0,72,265.364727
0.0,44,265.527428
1.0,94,265.902376
-4.0,58,266.183132
-10.0,98,266.555134
0.0,80,266.895041
1.0,65,267.172727
-4.0,53,267.431287
-4.0,51,267.643808
-7.0,72,267.95523
-3.0,44,268.087095
-12.0,65,268.404678
1.0,80,268.766914
-2.0,72,269.087206
1.0,101,269.527478
0.0,44,269.730539
0.0,65,270.02302
2.0,108,270.489752
-3.0,80,270.800139
1.0,44,270.991937
-4.0,80,271.357829
1.0,45,271.507932
1.0,72,271.847291
0.0,58,272.086903
0.0,65,272.338112
0.0,72,272.635997
-10.0,173,273.415213
1.0,74,273.679556
-3.0,130,274.197679
-4.0,94,274.608687
-3.0,123,275.129062
-4.0,72,275.437896
1.0,44,275.638855
0.0,87,275.97176
-3.0,94,276.45974
1.0,45,276.671092
-8.0,51,276.868395
-4.0,94,277.266663
-4.0,87,277.675098
0.0,65,277.960486
-4.0,72,278.281389
0.0,80,278.625444
1.0,101,279.079001
1.0,44,279.250909
-3.0,80,279.584755
-2.0,72,279.920068
-7.0,94,280.286419
-3.0,80,280.624971
0.0,44,280.793122
-3.0,44,281.022702
1.0,80,281.409268
2.0,65,281.686462
-16.0,152,282.253909
0.0,44,282.483012
-3.0,65,282.708434
-8.0,87,283.037994
1.0,72,283.364067
1.0,44,283.589095
0.0,108,284.075936
-8.0,65,284.372094
-3.0,44,284.580771
0.0,58,284.824307
-3.0,51,285.012922
0.0,87,285.33305
-8.0,72,285.608019
0.0,94,285.990046
-3.0,51,286.233505
-4.0,72,286.581373
0.0,80,286.934685
2.0,80,287.262126
1.0,51,287.532389
-4.0,80,287.869811
1.0,101,288.287962
-3.0,65,288.615592
0.0,44,288.800062
0.0,72,289.128046
-3.0,94,289.526735
1.0,72,289.868142
-2.0,87,290.241487
0.0,65,290.542492
-7.0,166,291.263985
-4.0,65,291.510941
-4.0,80,291.845049
-8.0,72,292.121296
1.0,87,292.505279
1.0,80,292.810028
-7.0,94,293.189997
1.0,108,293.665288
-2.0,94,294.054715
0.0,44,294.262903
-3.0,87,294.601039
0.0,58,294.839125
0.0,72,295.192084
-2.0,72,295.497726
2.0,72,295.775667
0.0,44,295.933867
0.0,65,296.238091
3.0,58,296.466139
1.0,51,296.663473
-3.0,80,297.003808
-3.0,94,297.403816
0.0,44,297.623943
0.0,65,297.899919
0.0,87,298.257491
2.0,94,298.687146
-3.0,144,299.312514
-4.0,137,299.856114
2.0,94,300.23981
-4.0,72,300.524887
1.0,44,300.696512
1.0,80,301.084086
-12.0,72,301.426907
0.0,65,301.691188
0.0,152,302.353797
0.0,58,302.60398
1.0,101,303.00641
0.0,44,303.257102
1.0,72,303.503306
1.0,72,303.825702
-4.0,51,304.049248
2.0,72,304.333563
-3.0,94,304.79066
-4.0,94,305.150754
0.0,80,305.463389
1.0,51,305.68362
-4.0,231,306.722549
2.0,87,307.129279
-7.0,87,307.450168
1.0,94,307.790565
0.0,80,308.102072
1.0,80,308.46979
-12.0,72,308.797034
-4.0,72,309.214125
-4.0,72,309.576122
4.0,137,310.14599
-3.0,72,310.514516
0.0,130,311.062376
1.0,94,311.423553
0.0,51,311.630042
0.0,87,312.008399
0.0,58,312.279087
1.0,94,312.68892
-3.0,100,313.108148
-3.0,80,313.394763
0.0,58,313.599358
0.0,108,314.070566
